缺陷编号,标题,步骤描述,预期结果,实际结果,状态,严重程度,缺陷截图,缺陷截图2,修复情况
BUG-38,朋友圈更换封面操作，偶尔出现报错提示,"1.进入朋友圈
2. 进行更换封面操作
3. 查看结果",不会出现异常,偶尔出现报错提示,新提交,一般,,,
BUG-39,转账，对方收款后，在当前页面不操作，能直接变为 已收款状态,1. 转账，对方收款后,在当前页面不操作，能直接实时变为 已收款状态,不会直接变为已收款状态,新提交,一般,,,
BUG-40,语音条，他能不能像别的软件读完一条，继续往下一条没读取的继续读,,,,新提交,一般,,,
BUG-41,进入“朋友圈”页面，会出现“正在加载”的提示状态栏,"1，在弱网情况下，进入“朋友圈”页面
2，点击查看大图
3，出现“正在加载”的提示状态栏
4，退出大图，该提示状态栏持续存在无法消失",不会出现“正在加载”的提示状态栏,该提示状态栏持续存在无法消失,新提交,一般,,,
BUG-42,,,,,新提交,一般,,,
BUG-43,,,,,新提交,一般,,,
BUG-44,,,,,新提交,一般,,,
BUG-45,,,,,新提交,一般,,,
BUG-46,,,,,新提交,一般,,,
BUG-47,,,,,新提交,一般,,,
BUG-48,,,,,新提交,一般,,,
BUG-49,,,,,新提交,一般,,,
BUG-50,,,,,新提交,一般,,,
BUG-51,,,,,新提交,一般,,,
BUG-52,,,,,新提交,一般,,,
BUG-53,,,,,新提交,一般,,,
BUG-54,,,,,新提交,一般,,,
BUG-55,,,,,新提交,一般,,,
,,,,,新提交,一般,,,
,,,,,新提交,一般,,,
